Student_ID,Full_Name,Gender,DOB,Phone,Program,Level,Intake_Year,Email
RPH20240070,Jean Uwamahoro,M,2001-02-28,0784558545,Civil Engineering,Level 5,2024,jean.uwamahoro@rp.ac.rw
RPH20230071,Eric Mukamana,Female,2001-06-25,0785651899,Computer Science,L6,2023,eric.mukamana@rp.ac.rw
RPH20230072,Benjamin Niyonzima,m,,0798062546,Civil Engineering,Level 4,2023,benjamin.niyonzima@rp.ac.rw
RPH20230073,Kevine Gasana,M,2006-05-15,0782020480,ELECTRONICS,L4,2023,kevine.gasana@rp.ac.rw
RPH20240074,Benjamin Ntawukuriryayo,Male,2002-10-21,0727390515,Mechanical Engineering,Level 6,2024,benjamin.ntawukuriryayo@rp.ac.rw
RPH20230075,Diane Mutabazi,,2001-07-11,0737979148,Information Technology,Level 4,2023,diane.mutabazi@rp.ac.rw
RPH20220076,Aline Uwamahoro,F,1999-07-04,0723182975,Computer Science,Level 6,2022,aline.uwamahoro@rp.ac.rw
RPH20250077,Kevine Habimana,M,2002-06-04,0793595941,Computer Science,Level 5,2025,kevine.habimana@rp.ac.rw
RPH20230078,Grace Ntawukuriryayo,,2006-01-20,0721485753,Computer Science,L5,2023,grace.ntawukuriryayo@rp.ac.rw
RPH20250079,Samuel Mutabazi,F,1998-02-24,0738043620,Civil Engineering,L4,2025,samuel.mutabazi@rp.ac.rw
RPH20230080,Samuel Kamanzi,Male,1998-11-03,0739148051,Electronics,Level 6,2023,samuel.kamanzi@rp.ac.rw
RPH20250081,Patrick Ntawukuriryayo,f,,0781128967,Software Engineering,L4,2025,patrick.ntawukuriryayo@rp.ac.rw
RPH20250082,Joseph Gasana,,2004-09-23,0722209226,Computer Science,Level 5,2025,joseph.gasana@rp.ac.rw
RPH20250083,Samuel Gasana,,2004-05-04,0723883553,Computer Science,Level 5,2025,samuel.gasana@rp.ac.rw
RPH20250084,Benjamin Mugisha,F,2002-12-11,0792281433,Software Engineering,Level 6,2025,benjamin.mugisha@rp.ac.rw
RPH20230085,Kevine Uwase,Female,2002-04-06,0783972018,Civil Engineering,Level 5,2023,kevine.uwase@rp.ac.rw
RPH20240086,  sarah nshimiyimana  ,m,1999-08-15,0721942411,Software Engineering,L4,2024,..sarah.nshimiyimana..@rp.ac.rw
RPH20220087,Kevine Nshimiyimana,,2006-12-02,0796394323,Software Engineering,L4,2022,kevine.nshimiyimana@rp.ac.rw
RPH20230088,Sarah Ntawukuriryayo,M,2005-08-17,0797105194,Computer Science,Level 6,2023,sarah.ntawukuriryayo@rp.ac.rw
RPH20240089,Claude Iradukunda,F,2006-11-13,0796592886,Mechanical Engineering,Level 4,2024,claude.iradukunda@rp.ac.rw
RPH20230090,claude mugisha,F,2004-11-26,0799831414,Software Engineering,L5,2023,claude.mugisha@rp.ac.rw
RPH20240091,Aline Gasana,,2000-03-03,0789517619,Civil Engineering,Level 4,2024,aline.gasana@rp.ac.rw
RPH20230092,Sarah Mugisha,Male,2000-12-15,,Mechanical Engineering,L5,2023,sarah.mugisha@rp.ac.rw
RPH20230093,Francine Tuyisenge,f,2005-04-12,0738745704,Information Technology,L5,2023,francine.tuyisenge@rp.ac.rw
RPH20240094,Claude Tuyisenge,M,2003-09-04,0785782563,Electronics,L5,2024,claude.tuyisenge@rp.ac.rw
RPH20250095,Claude Mutabazi,m,2004-01-13,0797478792,Mechanical Engineering,L5,2025,claude.mutabazi@rp.ac.rw
RPH20230096,  Jean Niyonzima  ,M,2005-12-27,0738526283,Mechanical Engineering,Level 4,2023,..jean.niyonzima..@rp.ac.rw
RPH20220097,diane gasana,f,1999-01-08,0732053729,Civil Engineering,Level 6,2022,diane.gasana@rp.ac.rw
RPH20230098,Sarah Niyonzima,f,2003-04-19,0789782613,Civil Engineering,Level 4,2023,sarah.niyonzima@rp.ac.rw
RPH20250099,Claude Mutabazi,M,2003-05-24,,Civil Engineering,L6,2025,claude.mutabazi@rp.ac.rw
RPH20230100,Grace Tuyisenge,M,2003-11-06,0739028420,Computer Science,L4,2023,grace.tuyisenge@rp.ac.rw
RPH20230101,Marie Tuyisenge,M,2002-09-13,0735249899,Computer Science,L6,2023,marie.tuyisenge@rp.ac.rw
RPH20240102,Grace Uwase,F,2004-07-24,0736688090,Software Engineering,Level 6,2024,grace.uwase@rp.ac.rw
RPH20250103,Francine Ntawukuriryayo,F,2000-09-10,0786501583,Electronics,L4,2025,francine.ntawukuriryayo@rp.ac.rw
RPH20240104,Grace Uwamahoro,,1998-02-22,0729608154,Computer Science,L5,2024,grace.uwamahoro@rp.ac.rw
RPH20240105,  Samuel Tuyisenge  ,m,1998-10-05,0727241348,Software Engineering,L5,2024,..samuel.tuyisenge..@rp.ac.rw
RPH20220106,Emmanuel Niyibizi,M,2005-09-13,0785391883,Electronics,L5,2022,emmanuel.niyibizi@rp.ac.rw
RPH20220107,Claude Nshimiyimana,,2005-02-26,0726828829,Mechanical Engineering,Level 6,2022,claude.nshimiyimana@rp.ac.rw
RPH20230108,Sarah Nshimiyimana,m,1999-04-26,0731440972,Information Technology,L4,2023,sarah.nshimiyimana@rp.ac.rw
RPH20220109,  David Mugisha  ,f,2005-09-14,0783102634,Information Technology,Level 5,2022,..david.mugisha..@rp.ac.rw
RPH20230110,David Niyibizi,Male,1998-02-17,0793717354,Software Engineering,L6,2023,david.niyibizi@rp.ac.rw
RPH20230111,Grace Mugisha,f,2002-10-18,0793586950,CIVIL ENGINEERING,L4,2023,grace.mugisha@rp.ac.rw
RPH20220112,Kevine Mugisha,M,2002-11-07,0731508113,Information Technology,Level 6,2022,kevine.mugisha@rp.ac.rw
RPH20250113,David Iradukunda,f,1998-03-15,0734422938,Software Engineering,L5,2025,david.iradukunda@rp.ac.rw
RPH20240114,Marie Ntawukuriryayo,F,2005-02-09,0792624230,Information Technology,Level 5,2024,marie.ntawukuriryayo@rp.ac.rw
RPH20240115,Jean Niyonzima,Female,2005-09-15,0729344488,Information Technology,L4,2024,jean.niyonzima@rp.ac.rw
RPH20220116,Diane Kamanzi,f,2005-05-18,,Electronics,Level 4,2022,diane.kamanzi@rp.ac.rw
RPH20220117,Eric Niyonzima,Female,2002-02-13,0722993318,Software Engineering,L5,2022,eric.niyonzima@rp.ac.rw
RPH20250118,Benjamin Uwase,M,,0728948107,Civil Engineering,Level 4,2025,benjamin.uwase@rp.ac.rw
RPH20240119,Jean Mutabazi,m,2006-09-16,0728967375,Software Engineering,Level 6,2024,jean.mutabazi@rp.ac.rw
RPH20220120,Joseph Mukamana,,2001-12-02,0799795159,Mechanical Engineering,L4,2022,joseph.mukamana@rp.ac.rw
RPH20250121,Eric Nshimiyimana,m,2004-12-07,0732044906,Civil Engineering,L5,2025,eric.nshimiyimana@rp.ac.rw
RPH20250122,Aline Ntawukuriryayo,m,2002-10-16,0795680950,Software Engineering,Level 6,2025,aline.ntawukuriryayo@rp.ac.rw
RPH20250123,Sarah Tuyisenge,m,2006-12-09,0737619156,MECHANICAL ENGINEERING,Level 4,2025,sarah.tuyisenge@rp.ac.rw
RPH20240124,  Alice Habimana  ,,2006-05-18,0792832517,INFORMATION TECHNOLOGY,Level 4,2024,..alice.habimana..@rp.ac.rw
RPH20240125,Kevine Uwase,,2000-01-18,0797826774,Software Engineering,L4,2024,kevine.uwase@rp.ac.rw
RPH20230126,Kevine Mukamana,M,2000-07-27,0787660463,COMPUTER SCIENCE,Level 5,2023,kevine.mukamana@rp.ac.rw
RPH20220127,Samuel Ntawukuriryayo,m,2006-09-16,0799459284,Electronics,Level 6,2022,samuel.ntawukuriryayo@rp.ac.rw
RPH20230128,Beatrice Nshimiyimana,M,2002-10-22,0797802999,Information Technology,L5,2023,beatrice.nshimiyimana@rp.ac.rw
RPH20220129,Sarah Niyibizi,f,2005-05-11,0785388133,Information Technology,Level 5,2022,sarah.niyibizi@rp.ac.rw
RPH20240130,Eric Uwase,F,2002-06-20,0799022561,Civil Engineering,Level 5,2024,eric.uwase@rp.ac.rw
RPH20230131,Diane Uwamahoro,Female,1999-09-15,0722310346,Civil Engineering,L6,2023,diane.uwamahoro@rp.ac.rw
RPH20250132,Eric Nshimiyimana,F,2005-02-17,0788607331,Mechanical Engineering,Level 6,2025,eric.nshimiyimana@rp.ac.rw
RPH20220133,  Sarah Niyibizi  ,,1998-12-07,0788108462,Computer Science,Level 4,2022,..sarah.niyibizi..@rp.ac.rw
RPH20220134,Joseph Uwase,f,2000-11-24,0737282411,Mechanical Engineering,Level 5,2022,joseph.uwase@rp.ac.rw
RPH20230135,Jean Ntawukuriryayo,m,2006-07-17,0791058272,Electronics,L5,2023,jean.ntawukuriryayo@rp.ac.rw
RPH20250136,  Alice Habimana  ,m,2001-12-25,0731262492,Mechanical Engineering,L4,2025,..alice.habimana..@rp.ac.rw
RPH20230137,Benjamin Ntawukuriryayo,M,2001-09-07,0783351084,Civil Engineering,Level 6,2023,benjamin.ntawukuriryayo@rp.ac.rw
RPH20240138,Marie Nshimiyimana,Female,2000-11-17,0725616316,Mechanical Engineering,Level 5,2024,marie.nshimiyimana@rp.ac.rw
RPH20250139,Francine Kamanzi,M,2004-09-11,0733503456,Information Technology,Level 6,2025,francine.kamanzi@rp.ac.rw
RPH20230140,Alice Ntawukuriryayo,,2006-07-14,0797516590,Software Engineering,Level 6,2023,alice.ntawukuriryayo@rp.ac.rw
RPH20230141,Patrick Gasana,M,1998-02-07,0799042900,Information Technology,Level 6,2023,patrick.gasana@rp.ac.rw
RPH20220142,Samuel Nshimiyimana,,2001-07-08,0727386444,Electronics,Level 6,2022,samuel.nshimiyimana@rp.ac.rw
RPH20250143,Alice Niyibizi,m,2003-06-14,,Civil Engineering,L6,2025,alice.niyibizi@rp.ac.rw
RPH20230144,Kevine Niyibizi,Female,2004-10-27,0725317226,Software Engineering,Level 6,2023,kevine.niyibizi@rp.ac.rw
RPH20250145,Jean Kamanzi,Male,2006-11-02,0781813936,INFORMATION TECHNOLOGY,Level 5,2025,jean.kamanzi@rp.ac.rw
RPH20250146,ALINE NSHIMIYIMANA,m,2005-11-16,,Civil Engineering,L4,2025,aline.nshimiyimana@rp.ac.rw
RPH20250147,Emmanuel Tuyisenge,Male,1999-09-05,0726946534,Civil Engineering,Level 6,2025,emmanuel.tuyisenge@rp.ac.rw
RPH20230148,Joseph Kamanzi,f,1999-11-28,0782568678,Mechanical Engineering,Level 4,2023,joseph.kamanzi@rp.ac.rw
RPH20250149,Marie Niyonzima,m,1999-09-02,0735548220,MECHANICAL ENGINEERING,L6,2025,marie.niyonzima@rp.ac.rw
RPH20220150,Aline Mutabazi,Female,2004-02-10,0797528964,Mechanical Engineering,Level 5,2022,aline.mutabazi@rp.ac.rw
RPH20240151,Jean Mugisha,M,2001-02-11,0736475691,Software Engineering,Level 4,2024,jean.mugisha@rp.ac.rw
RPH20250152,Claude Ntawukuriryayo,Male,2004-02-25,0792233237,Mechanical Engineering,L6,2025,claude.ntawukuriryayo@rp.ac.rw
RPH20220153,  Diane Mukamana  ,F,,0725525929,Civil Engineering,L4,2022,..diane.mukamana..@rp.ac.rw
RPH20220154,Aline Habimana,m,2003-07-01,0732421022,Information Technology,L6,2022,aline.habimana@rp.ac.rw
RPH20250155,Emmanuel Habimana,Male,2004-05-14,0787058670,Electronics,L6,2025,emmanuel.habimana@rp.ac.rw
RPH20220156,David Iradukunda,,2004-06-15,0796040467,Electronics,L6,2022,david.iradukunda@rp.ac.rw
RPH20250157,Aline Uwamahoro,Female,2002-07-12,0794018677,Electronics,Level 6,2025,aline.uwamahoro@rp.ac.rw
RPH20220158,Joseph Niyonzima,,2000-11-10,0798098909,Civil Engineering,Level 6,2022,joseph.niyonzima@rp.ac.rw
RPH20250159,Alice Mugisha,M,2003-12-26,0782834914,Civil Engineering,Level 6,2025,alice.mugisha@rp.ac.rw
RPH20250160,Benjamin Nshimiyimana,m,2004-02-01,0799567725,Electronics,Level 6,2025,benjamin.nshimiyimana@rp.ac.rw
RPH20230161,Eric Mutabazi,m,2005-02-10,0782947320,Electronics,L4,2023,eric.mutabazi@rp.ac.rw
RPH20250162,Diane Mugisha,,2002-01-26,0786755892,Civil Engineering,L5,2025,diane.mugisha@rp.ac.rw
RPH20240163,Jean Niyibizi,,2001-07-21,0737636771,ELECTRONICS,L5,2024,jean.niyibizi@rp.ac.rw
RPH20230164,David Habimana,f,1999-10-04,0797136988,Civil Engineering,L6,2023,david.habimana@rp.ac.rw
RPH20250165,Claude Mugisha,,2003-06-28,0795990296,Information Technology,L5,2025,claude.mugisha@rp.ac.rw
RPH20250166,Kevine Ntawukuriryayo,,2004-07-06,0793799538,Computer Science,L4,2025,kevine.ntawukuriryayo@rp.ac.rw
RPH20250167,Beatrice Niyibizi,Male,2004-09-17,0739249791,Computer Science,L5,2025,beatrice.niyibizi@rp.ac.rw
RPH20240168,Diane Iradukunda,M,2006-05-06,0739569902,Software Engineering,L4,2024,diane.iradukunda@rp.ac.rw
RPH20250169,Marie Uwase,Female,1999-12-27,0795994727,Computer Science,L5,2025,marie.uwase@rp.ac.rw
RPH20230170,Marie Iradukunda,m,2004-03-20,0794471922,Software Engineering,L6,2023,marie.iradukunda@rp.ac.rw
RPH20240171,Emmanuel Gasana,f,2006-11-27,0731994652,Information Technology,L5,2024,emmanuel.gasana@rp.ac.rw
RPH20250172,Joseph Nshimiyimana,,2002-11-14,0782561871,Electronics,L6,2025,joseph.nshimiyimana@rp.ac.rw
RPH20220173,Joseph Habimana,F,2005-11-22,0789966154,Software Engineering,L6,2022,joseph.habimana@rp.ac.rw
RPH20230174,Diane Gasana,,1998-01-04,0731273155,Electronics,Level 6,2023,diane.gasana@rp.ac.rw
RPH20230175,Grace Uwamahoro,f,2002-02-21,0787238503,Information Technology,L4,2023,grace.uwamahoro@rp.ac.rw
RPH20220176,Jean Niyibizi,M,1999-03-19,0731155809,Mechanical Engineering,L4,2022,jean.niyibizi@rp.ac.rw
RPH20230177,Joseph Tuyisenge,,1999-02-11,0723300647,Mechanical Engineering,Level 5,2023,joseph.tuyisenge@rp.ac.rw
RPH20220178,Patrick Niyonzima,Male,2001-11-24,0738421969,Mechanical Engineering,Level 4,2022,patrick.niyonzima@rp.ac.rw
RPH20240179,Francine Habimana,Male,1999-04-18,0721450038,Software Engineering,L5,2024,francine.habimana@rp.ac.rw
RPH20250180,Jean Mutabazi,,2005-11-20,,Civil Engineering,Level 5,2025,jean.mutabazi@rp.ac.rw
RPH20230181,  Emmanuel Habimana  ,,1999-01-19,,Civil Engineering,Level 6,2023,..emmanuel.habimana..@rp.ac.rw
RPH20250182,  Claude Ntawukuriryayo  ,,1999-11-18,0795655136,Information Technology,Level 4,2025,..claude.ntawukuriryayo..@rp.ac.rw
RPH20220183,Samuel Iradukunda,f,2001-01-08,0732945931,Mechanical Engineering,L4,2022,samuel.iradukunda@rp.ac.rw
RPH20230184,Sarah Mukamana,M,2003-09-17,0723801173,Computer Science,L4,2023,sarah.mukamana@rp.ac.rw
RPH20240185,Samuel Nshimiyimana,,1999-05-23,0789323974,Software Engineering,L4,2024,samuel.nshimiyimana@rp.ac.rw
RPH20220186,Kevine Mutabazi,Female,1998-01-28,0791771442,Computer Science,Level 6,2022,kevine.mutabazi@rp.ac.rw
RPH20250187,Diane Nshimiyimana,Female,2004-12-11,0787254683,Civil Engineering,Level 4,2025,diane.nshimiyimana@rp.ac.rw
RPH20220188,Patrick Ntawukuriryayo,,2002-06-03,0787189439,Electronics,Level 4,2022,patrick.ntawukuriryayo@rp.ac.rw
RPH20230189,Jean Tuyisenge,Female,2004-01-08,0786620658,Computer Science,L5,2023,jean.tuyisenge@rp.ac.rw
RPH20250190,Beatrice Niyibizi,,2000-12-09,0799720112,Civil Engineering,L5,2025,beatrice.niyibizi@rp.ac.rw
RPH20250191,Emmanuel Gasana,F,1998-07-22,0795893511,Mechanical Engineering,Level 4,2025,emmanuel.gasana@rp.ac.rw
RPH20240192,Diane Mukamana,Female,2001-03-25,0783607356,Software Engineering,L5,2024,diane.mukamana@rp.ac.rw
RPH20250193,Patrick Gasana,f,1999-02-06,0721676621,Software Engineering,L4,2025,patrick.gasana@rp.ac.rw
RPH20240194,samuel niyonzima,f,2000-01-13,0792589226,Information Technology,Level 4,2024,samuel.niyonzima@rp.ac.rw
RPH20240195,Eric Niyonzima,F,2002-02-01,0798439543,Computer Science,L4,2024,eric.niyonzima@rp.ac.rw
RPH20230196,Sarah Habimana,,2004-08-01,0733899223,INFORMATION TECHNOLOGY,Level 5,2023,sarah.habimana@rp.ac.rw
RPH20230197,Beatrice Habimana,f,2006-08-02,0733302438,Civil Engineering,Level 4,2023,beatrice.habimana@rp.ac.rw
RPH20240198,Grace Uwamahoro,,2005-06-19,0735537157,SOFTWARE ENGINEERING,Level 4,2024,grace.uwamahoro@rp.ac.rw
RPH20240199,Joseph Mutabazi,Female,1999-04-22,0784681115,Information Technology,Level 6,2024,joseph.mutabazi@rp.ac.rw
RPH20240200,ALINE NTAWUKURIRYAYO,M,2003-10-19,0799258194,Civil Engineering,Level 5,2024,aline.ntawukuriryayo@rp.ac.rw
RPH20250201,Jean Mukamana,M,2001-03-11,0721999183,Civil Engineering,L4,2025,jean.mukamana@rp.ac.rw
RPH20240202,Kevine Mugisha,,2003-05-11,0798329435,Civil Engineering,L5,2024,kevine.mugisha@rp.ac.rw
RPH20230203,Grace Iradukunda,,2002-03-06,0731543292,Mechanical Engineering,Level 4,2023,grace.iradukunda@rp.ac.rw
RPH20230204,Samuel Uwamahoro,m,2001-06-11,0786632941,Software Engineering,Level 6,2023,samuel.uwamahoro@rp.ac.rw
RPH20220205,Aline Kamanzi,M,2004-03-14,0736892681,Mechanical Engineering,L5,2022,aline.kamanzi@rp.ac.rw
RPH20230206,David Mukamana,,1998-05-01,0782244876,Computer Science,Level 5,2023,david.mukamana@rp.ac.rw
RPH20250207,Patrick Habimana,M,2000-10-14,0786554845,Civil Engineering,L6,2025,patrick.habimana@rp.ac.rw
RPH20240208,Sarah Uwamahoro,Female,2004-10-18,0791914439,Civil Engineering,L4,2024,sarah.uwamahoro@rp.ac.rw
RPH20220209,Kevine Uwase,Female,2002-02-16,0727668395,Electronics,Level 4,2022,kevine.uwase@rp.ac.rw
RPH20240210,Eric Tuyisenge,Male,2002-08-15,0722034137,Civil Engineering,Level 5,2024,eric.tuyisenge@rp.ac.rw
RPH20230211,  Kevine Ntawukuriryayo  ,M,2006-07-18,0734953417,Civil Engineering,Level 5,2023,..kevine.ntawukuriryayo..@rp.ac.rw
RPH20230212,  Marie Kamanzi  ,F,2005-03-06,0793117049,Mechanical Engineering,Level 5,2023,..marie.kamanzi..@rp.ac.rw
